Sample,group
MMRS12272136ST,1
MMRS14602194ST,1
MMRS15137911ST,1
MMRS16644320ST,1
MMRS18295921ST,1
MMRS25641480ST,1
MMRS34525504ST,1
MMRS42780924ST,1
MMRS43563715ST,1
MMRS43939546ST,1
MMRS44587603ST,1
MMRS51410669ST,1
MMRS54316675ST,1
MMRS55294627ST,1
MMRS62376181ST,1
MMRS65205033ST,1
MMRS65945127ST,1
MMRS67247116ST,1
MMRS71762412ST,1
MMRS72802364ST,1
MMRS72980899ST,1
MMRS77018926ST,1
MMRS77321055ST,1
MMRS77487595ST,1
MMRS78791111ST,1
MMRS81194191ST,1
MMRS81671217ST,1
MMRS84954772ST,1
MMRS85382779ST,1
MMRS86178473ST,1
MMRS90191266ST,1
MMRS93508324ST,1
MMRS97052561ST,1
MMRS97327636ST,1
MMRS11288076ST,0
MMRS20257302ST,0
MMRS21365932ST,0
MMRS29805707ST,0
MMRS32573774ST,0
MMRS33294861ST,0
MMRS34569532ST,0
MMRS35808664ST,0
MMRS38861560ST,0
MMRS38954404ST,0
MMRS39582183ST,0
MMRS51307502ST,0
MMRS51737257ST,0
MMRS54246132ST,0
MMRS57276462ST,0
MMRS61683006ST,0
MMRS62666492ST,0
MMRS64281551ST,0
MMRS65742083ST,0
MMRS65862658ST,0
MMRS66868025ST,0
MMRS73787048ST,0
MMRS79893829ST,0
MMRS81135225ST,0
MMRS84159866ST,0
MMRS86168210ST,0
MMRS88581325ST,0
MMRS91297590ST,0
MMRS93621581ST,0
MMRS94549160ST,0
MMRS95277876ST,0
MMRS95479054ST,0
MMRS97307143ST,0
