feature_x,feature_y,sample_51,sample_7,sample_2
gene_2,gene_170,0.4612814705215002,0.356242171343454,1.162679044144381
gene_50,gene_130,-0.2948881710936306,-0.0345428871432618,-2.453051504547861
gene_64,gene_96,-0.2233311202315796,-0.5335861314328387,-0.3726911123319463
gene_67,gene_136,-0.2731375127976458,-0.3605410524363326,-0.4869057514669632
gene_5,gene_153,0.0219624590531421,-0.1528052768733991,2.887581563587421
gene_74,gene_187,-0.2624967784774303,-0.3949888969357251,0.2462770966093918
gene_79,gene_114,0.4207383240262987,0.4063003434187591,0.6166376251946012
gene_189,gene_198,-0.4626553395015313,-0.3860879701259897,1.0593107881287054
gene_79,gene_197,-0.3697110284168806,-0.3300923102982037,-0.3704377939966058
gene_184,gene_199,-0.6080237936216564,-0.4496845831262286,0.1409886958529578
gene_178,gene_187,-0.1558659734391183,-0.3646918580760778,-0.5274166398328829
gene_82,gene_190,-0.2913604161837365,-0.4472927938960698,-0.4037949062265114
gene_84,gene_111,0.2112299721842955,0.7216933621783641,0.5855153728490476
gene_84,gene_194,0.1406002322394763,0.3474553761081461,0.6209479794355905
gene_86,gene_129,0.3667543404659785,-0.1249204132369644,-0.0387394693306709
gene_165,gene_193,0.4935127328398067,-0.4903919118496799,2.2750263496740337
gene_164,gene_184,0.2261528458418485,-0.3826999133645146,-0.442924757314291
gene_97,gene_98,0.5084291764420871,0.1093094665296234,0.2986246562103953
gene_133,gene_156,-0.3464131891586003,-0.1631062752891745,-0.1148120871761157
gene_132,gene_171,-0.2219482298854732,-0.1938195298917766,-0.3156620067056664
gene_126,gene_159,-0.3244227485695929,-0.1598238856404828,-0.4976507959981858
gene_114,gene_170,-0.1684139463509639,-0.4616166310610816,-1.0229130146347896
gene_102,gene_166,0.8711920476007027,0.2499911064051327,0.3120960825360699
gene_54,gene_194,-0.4116437289697396,0.0108638015215132,0.7617272015401888
gene_52,gene_151,0.4113496744952628,0.3378787633354067,0.336323889232851
gene_28,gene_195,0.3174282752559826,0.332936167630899,0.4129480702739053
gene_38,gene_86,0.4207054182996685,0.2647940175171002,0.2900866350271123
gene_8,gene_162,-0.4087419612334905,-0.2992138564597676,-0.3905136042210275
gene_10,gene_137,-0.1612621082056134,-0.3281213506321915,-0.6306280175554294
gene_15,gene_97,0.0693118439486456,0.472526173271045,0.9191673384229236
gene_18,gene_21,-0.0246129943858441,0.943835920708769,-1.6835588569643367
gene_18,gene_91,-0.0136283733896262,-0.2063142862890551,-0.053508333031854
gene_21,gene_111,0.4127701605786696,0.4691288182063925,1.6388798068394812
gene_26,gene_129,0.4689880415720833,0.2692970147737528,0.5015668893654277
gene_31,gene_130,-0.3450477450596542,-0.6070092909576436,0.5078550127273296
gene_31,gene_156,0.3758811672795132,0.4592785551205552,0.7467433687650649
gene_114,gene_118,0.511460461363565,0.4860990902544729,0.3694206380561163
gene_11,gene_80,-0.0940024357416986,-0.389313660599936,
gene_35,gene_101,0.759520741881915,0.5150651145652174,
gene_166,gene_183,-0.3589141376013917,-0.2873862599678661,
gene_40,gene_60,-0.2911268725196874,-0.2670256149316074,
gene_146,gene_174,0.0246857727021714,-0.5789141953987179,
gene_135,gene_137,0.5352525688038854,0.3288028524300148,
gene_38,gene_70,0.4507198145222544,0.652797570261169,
gene_118,gene_146,0.4209171107167522,0.5303511716393432,
gene_153,gene_195,-0.321778526231798,,0.2494106019594438
gene_111,gene_197,-0.2237350306124891,-0.3686730558080512,
gene_104,gene_181,0.1336585780961326,0.4001855260125938,
gene_55,gene_102,0.474102782774635,0.1525562734920884,
gene_113,gene_177,0.3289343620050188,,0.3901165831303723
gene_67,gene_185,-0.2951272832320598,-0.2560715488521204,
gene_28,gene_185,-0.1435966202275314,-0.2360038859344483,
gene_88,gene_129,0.3888943211883632,0.3629969007313918,
gene_77,gene_137,0.1588708192513193,0.3621959796924787,
gene_74,gene_125,-0.0110788085436469,0.20973440376779,
gene_60,gene_130,-0.4057442439926973,-0.3225314344877407,
gene_41,gene_70,0.5513040659480986,0.3726567012831603,
gene_23,gene_50,-0.3625769648202677,-0.332986331562438,
gene_15,gene_70,-0.1111206055950868,-0.4819219145823425,
gene_5,gene_175,-0.2967114240282719,-0.616736493293245,
gene_8,gene_112,0.1364443348391343,0.3068282933877262,
gene_55,gene_56,0.6867001595889601,0.4154835019777927,
gene_3,gene_162,-0.3634614203401701,-0.539940054630788,
gene_112,gene_185,,-0.389394353551134,0.4868048748182683
gene_91,gene_112,,-0.4588872346838997,-1.3890741490238072
gene_26,gene_96,0.3235198250089444,,0.6138193914893875
gene_38,gene_132,0.4731373541134239,,0.334554494837305
gene_48,gene_88,-0.0486881450458632,,-0.3176184824043395
gene_11,gene_54,-0.2539363507105541,,0.8051515222736754
gene_50,gene_112,,-0.3377169100068032,-0.694961420535869
gene_50,gene_187,,-0.3556571977360628,-0.6648326196604332
gene_23,gene_88,0.273845924623741,,0.1873087788196687
gene_70,gene_111,-0.222209072481609,,-1.6486833305759032
gene_80,gene_112,-0.3032832410055204,,0.2191611411562978
gene_58,gene_74,,-0.3506458701859166,-0.2898868121057367
gene_97,gene_119,-0.3556948368209595,,0.2464871381301475
gene_88,gene_176,-0.320082588359121,,
gene_118,gene_128,,-0.2703307428724564,
gene_181,gene_190,,-0.2722169895850644,
gene_5,gene_195,,,0.82468996205781
gene_151,gene_162,,-0.3872150035940198,
gene_10,gene_119,,,0.7779913492871573
gene_115,gene_153,-0.0014243300866748,,
gene_136,gene_185,,-0.0265360325659744,
gene_10,gene_123,,,-0.0992921149692389
gene_125,gene_189,-0.2343713160223694,,
gene_128,gene_197,0.2184291450370095,,
gene_97,gene_166,0.47930721500758,,
gene_115,gene_137,,0.3826123632645472,
gene_12,gene_26,,,-0.0798387917414565
gene_14,gene_103,,,0.3068920246535945
gene_130,gene_195,-0.2859991848463457,,
gene_103,gene_159,,-0.2952277874002776,
gene_101,gene_197,,0.3173601930682653,
gene_156,gene_195,-0.2248615673463831,,
gene_97,gene_129,,-0.975309453937493,
gene_96,gene_193,,-0.4775481712491246,
gene_182,gene_198,,0.3583583005291911,
gene_3,gene_46,-0.2206634573869083,,
gene_8,gene_143,-0.4668395704255083,,
gene_12,gene_14,-0.3545103107263445,,
gene_88,gene_154,-0.3082953364625425,,
gene_80,gene_148,0.5187162170663816,,
gene_79,gene_195,-0.3169792038513951,,
gene_68,gene_170,0.3706099331743243,,
gene_60,gene_133,-0.4410062783080247,,
gene_97,gene_178,0.2501775742628627,,
gene_54,gene_130,0.0111689152724216,,
gene_38,gene_153,0.330410340301309,,
gene_37,gene_194,-0.2807838162440863,,
gene_31,gene_35,0.2306842551405004,,
gene_103,gene_184,-0.2183914221151993,,
gene_28,gene_45,-0.5262180625110218,,
gene_23,gene_128,-0.2923922663485226,,
gene_18,gene_135,-0.3051810294445842,,
gene_18,gene_133,0.3285274624451552,,
gene_115,gene_126,0.3868056844289195,,
gene_18,gene_80,0.7403170328926192,,
gene_14,gene_152,-0.2934739220365528,,
gene_12,gene_94,-0.34921739740257,,
gene_96,gene_143,,0.3775812601111181,
gene_72,gene_166,,-0.1950562652749735,
gene_86,gene_113,,0.8637315806866624,
gene_88,gene_104,,,0.7037327092557428
gene_10,gene_151,,-0.3023102419626473,
gene_8,gene_104,,-0.1366498292037641,
gene_72,gene_133,,,0.9343751630446488
gene_74,gene_177,,,0.915574231855498
gene_79,gene_118,,,-0.6318471132317958
gene_184,gene_193,,,-0.4103711604423283
gene_82,gene_171,,,0.2781810819675888
gene_175,gene_189,,,-0.3111628377563878
gene_174,gene_187,,,0.4166579821369549
gene_164,gene_178,,,-1.556231819537283
gene_64,gene_199,,,0.1558424186935293
gene_162,gene_199,,,0.2794509023714533
gene_156,gene_166,,,-0.4373555695444668
gene_94,gene_197,,,1.4989592094574162
gene_152,gene_182,,,0.2759031013001619
gene_97,gene_132,,,-1.3779829467307343
gene_129,gene_197,,,0.1541560308496429
gene_97,gene_183,,,-0.3138006891465614
gene_118,gene_136,,,0.3958107000515138
gene_115,gene_152,,,0.6046607423428653
gene_10,gene_156,,-0.4242369510885441,
gene_11,gene_159,,0.4138170877205259,
gene_80,gene_159,,0.4296873315741201,
gene_48,gene_185,,,-0.3656016779530017
gene_23,gene_162,,,-0.4230670863219697
gene_102,gene_123,,,-0.318883966361946
gene_72,gene_84,,-0.3784922722484068,
gene_40,gene_125,,,0.3123423167978449
gene_56,gene_98,,-0.1753721377692838,
gene_48,gene_55,,,-0.1649760426146093
gene_52,gene_143,,0.37362683961598,
gene_41,gene_103,,0.2516392806724487,
gene_48,gene_123,,,-0.519360437456538
gene_38,gene_60,,0.3776160004917446,
gene_18,gene_54,,0.1274342484858259,
gene_35,gene_114,,0.4421063911390478,
gene_52,gene_162,,,0.088602336722166
gene_28,gene_98,,0.5130990434101367,
gene_26,gene_43,,-0.5301486558373036,
gene_23,gene_177,,0.3121702730620572,
gene_23,gene_94,,0.3630500160056758,
gene_55,gene_162,,,0.7812078428789115
gene_21,gene_181,,-0.2738632291101694,
gene_18,gene_58,,-0.260536983294795,
gene_171,gene_189,0.2912440918640116,,
